NAME,COLOR,TESTVALUE,INDEX,SIG,CODE_8,CONT,CODE_LEG,SIG_ENG,CONT_EX,CODENAME,POP,POP_DATA
진도,#CC00FF,10,1,진도군,36670,진도,4690000000,Jindo-gun,진도,46900 진도군,29559,29
목포,#CC00FF,10,2,목포시,36010,목포,4611000000,Mokpo-si,목포,46110 목포시,216994,216
해남,#CC00FF,10,3,해남군,36600,해남,4682000000,Haenam-gun,해남,46820 해남군,66001,66
강진,#CC00FF,10,4,강진군,36590,강진,4681000000,Gangjin-gun,강진,46810 강진군,33223,33
완도,#CC00FF,10,5,완도군,36660,완도,4689000000,Wando-gun,완도,46890 완도군,47754,47
장흥,#CC00FF,10,6,장흥군,36580,장흥,4680000000,Jangheung-gun,장흥,46800 장흥군,35797,35
보성,#CC00FF,10,7,보성군,36560,보성,4678000000,Boseong-gun,보성,46780 보성군,38614,38
고흥,#CC00FF,10,8,고흥군,36550,고흥,4677000000,Goheung-gun,고흥,46770 고흥군,62048,62
여수,#CC00FF,10,9,여수시,36020,여수,4613000000,Yeosu-si,여수,46130 여수시,275011,275
제주,#aaaaaa,10,10,제주시,39010,제주,5011000000,Jeju-si,제주,50110 제주시,493459,493
서귀포,#aaaaaa,10,11,서귀포시,39020,서귀포,5013000000,Seogwipo-si,서귀포,50130 서귀포시,184865,184
통영,#8EA9DB,10,12,통영시,38050,통영,4822000000,Tongyeong-si,통영,48220 통영시,123158,123
거제,#8EA9DB,10,13,거제시,38090,거제,4831000000,Geoje-si,거제,48310 거제시,237090,237
부산 사하,#8EA9DB,10,14,사하구,21100,사하,2638000000,Saha-gu,사하,26380 사하구,302844,302
부산 서구,#8EA9DB,10,15,서구,21020,서구,2614000000,Seo-gu,서구,26140 서구,105358,105
부산 영도,#8EA9DB,10,16,영도구,21040,영도,2620000000,Yeongdo-gu,영도,26200 영도구,108505,108
신안,#CC00FF,10,17,신안군,36680,신안,4691000000,Sinan-gun,신안,46910 신안군,37910,37
무안,#CC00FF,10,18,무안군,36620,무안,4684000000,Muan-gun,무안,46840 무안군,90784,90
나주,#CC00FF,10,19,나주시,36040,나주,4617000000,Naju-si,나주,46170 나주시,115762,115
영양,#CC00FF,10,20,영양군,37540,영양,4776000000,Yeongyang-gun,영양,47760 영양군,16066,16
광주 서구,#8EA9DB,10,21,서구,24020,서구,2914000000,Seo-gu,서구,29140 서구,287720,287
광주 남구,#8EA9DB,10,22,남구,24030,남구,2915500000,Nam-gu,남구,29155 남구,213079,213
화순,#CC00FF,10,23,화순군,36570,화순,4679000000,Hwasun-gun,화순,46790 화순군,62085,62
순천,#CC00FF,10,24,순천시,36030,순천,4615000000,Suncheon-si,순천,46150 순천시,279069,279
광양,#CC00FF,10,25,광양시,36060,광양,4623000000,Gwangyang-si,광양,46230 광양시,152145,152
남해,#8EA9DB,10,26,남해군,38550,남해,4884000000,Namhae-gun,남해,48840 남해군,41727,41
사천,#8EA9DB,10,27,사천시,38060,사천,4824000000,Sacheon-si,사천,48240 사천시,109518,109
고성 (경남),#8EA9DB,10,28,고성군,38540,고성,4882000000,Goseong-gun,고성,48820 고성군,49913,49
창원 진해,#8EA9DB,10,29,진해구,38115,진해,4812900000,Jinhae-gu,창원 진해,48129 진해구,194212,194
부산 사상,#8EA9DB,10,30,사상구,21150,사상,2653000000,Sasang-gu,사상,26530 사상구,203331,203
부산 중구,#8EA9DB,10,31,중구,21010,중구,2611000000,Jung-gu,중구,26110 중구,39936,39
부산 동구,#8EA9DB,10,32,동구,21030,동구,2617000000,Dong-gu,동구,26170 동구,86948,86
영광,#CC00FF,10,33,영광군,36640,영광,4687000000,Yeonggwang-gun,영광,46870 영광군,52202,52
함평,#CC00FF,10,34,함평군,36630,함평,4686000000,Hampyeong-gun,함평,46860 함평군,30875,30
장성,#CC00FF,10,35,장성군,36650,장성,4688000000,Jangseong-gun,장성,46880 장성군,43118,43
광주 광산,#8EA9DB,10,36,광산구,24050,광산,2920000000,Gwangsan-gu,광산,29200 광산구,401334,401
광주 북구,#8EA9DB,10,37,북구,24040,북구,2917000000,Buk-gu,북구,29170 북구,424720,424
광주 동구,#8EA9DB,10,38,동구,24010,동구,2911000000,Dong-gu,동구,29110 동구,105798,105
담양,#CC00FF,10,39,담양군,36510,담양,4671000000,Damyang-gun,담양,46710 담양군,45776,45
곡성,#CC00FF,10,40,곡성군,36520,곡성,4672000000,Gokseong-gun,곡성,46720 곡성군,27114,27
구례,#CC00FF,10,41,구례군,36530,구례,4673000000,Gurye-gun,구례,46730 구례군,24761,24
하동,#8EA9DB,10,42,하동군,38560,하동,4885000000,Hadong-gun,하동,48850 하동군,42630,42
진주,#8EA9DB,10,43,진주시,38030,진주,4817000000,Jinju-si,진주,48170 진주시,344293,344
창원 합포,#8EA9DB,10,44,마산합포구,38113,마산합포,4812500000,Masanhappo-gu,창원 마산합포,48125 마산합포구,179985,179
창원 성산,#8EA9DB,10,45,성산구,38112,성산,4812300000,seongsan-gu,창원 성산,48123 성산구,248840,248
부산 부산진,#8EA9DB,10,46,부산진구,21050,부산진,2623000000,Busanjin-gu,부산진,26230 부산진구,353568,353
부산 연제,#8EA9DB,10,47,연제구,21130,연제,2647000000,Yeonje-gu,연제,26470 연제구,204377,204
부산 남구,#8EA9DB,10,48,남구,21070,남구,2629000000,Nam-gu,남구,26290 남구,257147,257
부안,#A66BD3,10,49,부안군,35580,부안,4580000000,Buan-gun,부안,45800 부안군,50217,50
고창,#A66BD3,10,50,고창군,35570,고창,4579000000,Gochang-gun,고창,45790 고창군,52543,52
정읍,#A66BD3,10,51,정읍시,35040,정읍,4518000000,Jeongeup-si,정읍,45180 정읍시,105282,105
임실,#A66BD3,10,52,임실군,35550,임실,4575000000,Imsil-gun,임실,45750 임실군,26498,26
순창,#A66BD3,10,53,순창군,35560,순창,4577000000,Sunchang-gun,순창,45770 순창군,26707,26
남원,#A66BD3,10,54,남원시,35050,남원,4519000000,Namwon-si,남원,45190 남원시,78165,78
장수,#A66BD3,10,55,장수군,35540,장수,4574000000,Jangsu-gun,장수,45740 장수군,21425,21
함양,#8EA9DB,10,56,함양군,38580,함양,4887000000,Hamyang-gun,함양,48870 함양군,37900,37
산청,#8EA9DB,10,57,산청군,38570,산청,4886000000,Sancheong-gun,산청,48860 산청군,34062,34
의령,#8EA9DB,10,58,의령군,38510,의령,4872000000,Uiryeong-gun,의령,48720 의령군,26100,26
함안,#8EA9DB,10,59,함안군,38520,함안,4873000000,Haman-gun,함안,48730 함안군,61613,61
창원 회원,#8EA9DB,10,60,마산회원구,38114,마산회원,4812700000,Masanhoewon-gu,창원 마산회원,48127 마산회원구,184137,184
창원 의창,#8EA9DB,10,61,의창구,38111,의창,4812100000,Uichang-gu,창원 의창,48121 의창구,216095,216
부산 강서,#8EA9DB,10,62,강서구,21120,강서,2644000000,Gangseo-gu,강서,26440 강서구,143611,143
부산 동래,#8EA9DB,10,63,동래구,21060,동래,2626000000,Dongnae-gu,동래,26260 동래구,273790,273
부산 수영,#8EA9DB,10,64,수영구,21140,수영,2650000000,Suyeong-gu,수영,26500 수영구,174694,174
군산,#A66BD3,10,65,군산시,35020,군산,4513000000,Gunsan-si,군산,45130 군산시,262819,262
김제,#A66BD3,10,66,김제시,35060,김제,4521000000,Gimje-si,김제,45210 김제시,81205,81
전주 덕진,#A66BD3,10,67,덕진구,35012,덕진,4511300000,Deokjin-gu,전주 덕진,45113 덕진구,318875,318
전주 완산,#A66BD3,10,68,완산구,35011,완산,4511100000,Wansan-gu,전주 완산,45111 완산구,333820,333
완주,#A66BD3,10,69,완주군,35510,완주,4571000000,Wanju-gun,완주,45710 완주군,91711,91
진안,#A66BD3,10,70,진안군,35520,진안,4572000000,Jinan-gun,진안,45720 진안군,24652,24
무주,#A66BD3,10,71,무주군,35530,무주,4573000000,Muju-gun,무주,45730 무주군,23540,23
거창,#8EA9DB,10,72,거창군,38590,거창,4888000000,Geochang-gun,거창,48880 거창군,60475,60
합천,#8EA9DB,10,73,합천군,38600,합천,4889000000,Hapcheon-gun,합천,48890 합천군,42245,42
창녕,#8EA9DB,10,74,창녕군,38530,창녕,4874000000,Changnyeong-gun,창녕,48740 창녕군,58633,58
밀양,#8EA9DB,10,75,밀양시,38080,밀양,4827000000,Miryang-si,밀양,48270 밀양시,102725,102
김해,#8EA9DB,10,76,김해시,38070,김해,4825000000,Gimhae-si,김해,48250 김해시,535734,535
양산,#8EA9DB,10,77,양산시,38100,양산,4833000000,Yangsan-si,양산,48330 양산시,353410,353
부산 금정,#8EA9DB,10,78,금정구,21110,금정,2641000000,Geumjeong-gu,금정,26410 금정구,222264,222
부산 북구,#8EA9DB,10,79,북구,21080,북구,2632000000,Buk-gu,북구,26320 북구,279770,279
부산 해운대,#8EA9DB,10,80,해운대구,21090,해운대,2635000000,Haeundae-gu,해운대,26350 해운대구,387840,387
서천,#669900,10,81,서천군,34540,서천,4477000000,Seocheon-gun,서천,44770 서천군,50057,50
익산,#A66BD3,10,82,익산시,35030,익산,4514000000,Iksan-si,익산,45140 익산시,274317,274
논산,#669900,10,83,논산시,34060,논산,4423000000,Nonsan-si,논산,44230 논산시,112939,112
금산,#669900,10,84,금산군,34510,금산,4471000000,Geumsan-gun,금산,44710 금산군,50088,50
대전 서구,#00B050,10,85,서구,25030,서구,3017000000,Seo-gu,서구,30170 서구,471112,471
대전 동구,#00B050,10,86,동구,25010,동구,3011000000,Dong-gu,동구,30110 동구,220286,220
보은,#008000,10,87,보은군,33520,보은,4372000000,Boeun-gun,보은,43720 보은군,31524,31
옥천,#008000,10,88,옥천군,33530,옥천,4373000000,Okcheon-gun,옥천,43730 옥천군,49591,49
